"district"	"county"	"town"	"democrat"	"republican"	"ind1"	"ind2"	"blank"	"total"	"join_id"
115	"OXF"	"WOODSTOCK"	284	452			60	796	"115 WOODSTOCK"
116	"OXF"	"CANTON"	206	314			19	539	"116 CANTON"
116	"OXF"	"DIXFIELD"	439	831			36	1306	"116 DIXFIELD"
116	"OXF"	"HARTFORD"	182	455			18	655	"116 HARTFORD"
116	"OXF"	"MEXICO"	876	466			20	1362	"116 MEXICO"
116	"OXF"	"PERU"	397	554			27	978	"116 PERU"
117	"FRA"	"COPLIN"	45	53			5	103	"117 COPLIN"
117	"FRA"	"DALLAS"	92	105			10	207	"117 DALLAS"
117	"FRA"	"EUSTIS"	174	215			36	425	"117 EUSTIS"
117	"FRA"	"RANGELEY"	297	404			42	743	"117 RANGELEY"
117	"FRA"	"RANGELEY"	60	94			8	162	"117 RANGELEY"
117	"OXF"	"SOUTH OXFORD"	118	188			9	315	"117 SOUTH OXFORD"
117	"OXF"	"ANDOVER"	218	309			19	546	"117 ANDOVER"
117	"OXF"	"BETHEL"	715	948			49	1712	"117 BETHEL"
117	"OXF"	"BYRON"	42	42			9	93	"117 BYRON"
117	"OXF"	"GILEAD"	36	76			6	118	"117 GILEAD"
117	"OXF"	"GREENWOOD"	185	271			18	474	"117 GREENWOOD"
117	"OXF"	"HANOVER"	73	109			7	189	"117 HANOVER"
117	"OXF"	"LINCOLN"	6	21			2	29	"117 LINCOLN"
117	"OXF"	"LOVELL"	24	32			2	58	"117 LOVELL"
117	"OXF"	"MAGALLOWAY"	1	17			0	18	"117 MAGALLOWAY"
117	"OXF"	"NEWRY"	117	149			16	282	"117 NEWRY"
117	"OXF"	"STONEHAM"	79	85			12	176	"117 STONEHAM"
117	"OXF"	"STOW"	112	104			11	227	"117 STOW"
117	"OXF"	"UPTON"	12	41			7	60	"117 UPTON"
118	"FRA"	"WYMAN"	14	16			3	33	"118 WYMAN"
118	"PIS"	"KINGSBURY"	3	13			3	19	"118 KINGSBURY"
118	"PIS"	"WELLINGTON"	48	57			15	120	"118 WELLINGTON"
118	"SOM"	"ATHENS"	178	296			27	501	"118 ATHENS"
118	"SOM"	"BINGHAM"	195	298			51	544	"118 BINGHAM"
118	"SOM"	"BRIGHTON"	14	33			2	49	"118 BRIGHTON"
118	"SOM"	"CARATUNK"	24	21			5	50	"118 CARATUNK"
118	"SOM"	"CONCORD TOWNSHIP"	1	2			0	3	"118 CONCORD TOWNSHIP"
118	"SOM"	"CORNVILLE"	349	338			45	732	"118 CORNVILLE"
118	"SOM"	"DENNISTOWN"	5	17			4	26	"118 DENNISTOWN"
118	"SOM"	"EMBDEN"	190	306			39	535	"118 EMBDEN"
118	"SOM"	"HARMONY"	167	282			44	493	"118 HARMONY"
118	"SOM"	"HIGHLAND"	36	73			9	118	"118 HIGHLAND"
118	"SOM"	"JACKMAN"	150	339			55	544	"118 JACKMAN"
118	"SOM"	"LEXINGTON/SPRING LAKE"	5	14			2	21	"118 LEXINGTON/SPRING LAKE"
118	"SOM"	"MOOSE RIVER"	15	93			11	119	"118 MOOSE RIVER"
118	"SOM"	"MOSCOW"	97	134			32	263	"118 MOSCOW"
118	"SOM"	"PLEASANT RIDGE"	13	35			3	51	"118 PLEASANT RIDGE"
118	"SOM"	"NORTHEAST SOMERSET"	61	145			18	224	"118 NORTHEAST SOMERSET"
118	"SOM"	"THE FORKS"	12	26			6	44	"118 THE FORKS"
118	"SOM"	"WEST FORKS"	16	29			4	49	"118 WEST FORKS"
